total_off_points,total_tds,td_pct,pass_pct_defense,rec_td_pct,receiving_touchdown,total_off_yards,ypa,win_pct,team,season
386.0,65.0,0.04,0.52,0.04,25.0,6299,7.21,0.375,DAL,2020
320.0,55.0,0.04,0.58,0.039,21.0,5591,6.89,0.312,DEN,2020
372.0,71.0,0.05,0.54,0.047,27.0,5896,7.73,0.312,DET,2020
508.0,114.0,0.09,0.59,0.092,48.0,6417,8.25,0.778,GB,2020
379.0,76.0,0.06,0.54,0.061,33.0,6309,8.99,0.25,HOU,2020
417.0,69.0,0.05,0.6,0.044,24.0,6182,7.74,0.647,IND,2020
288.0,59.0,0.04,0.52,0.042,25.0,5474,6.59,0.062,JAX,2020
453.0,94.0,0.07,0.57,0.064,40.0,6792,8.03,0.842,KC,2020
355.0,60.0,0.04,0.61,0.035,20.0,6201,7.26,0.611,LA,2020
388.0,77.0,0.05,0.57,0.05,31.0,6332,7.37,0.438,LAC,2020
437.0,76.0,0.06,0.58,0.052,28.0,6299,8.1,0.5,LV,2020
399.0,65.0,0.05,0.59,0.044,24.0,5625,7.21,0.625,MIA,2020
431.0,90.0,0.07,0.54,0.07,35.0,6548,8.48,0.438,MIN,2020
304.0,44.0,0.04,0.53,0.028,12.0,5470,7.33,0.438,NE,2020
474.0,86.0,0.06,0.61,0.054,28.0,6210,7.68,0.722,NO,2020
269.0,37.0,0.03,0.59,0.024,12.0,5104,6.59,0.375,NYG,2020
238.0,41.0,0.03,0.58,0.033,16.0,4798,6.42,0.125,NYJ,2020
315.0,61.0,0.05,0.54,0.038,22.0,5755,6.45,0.25,PHI,2020
397.0,82.0,0.06,0.58,0.054,35.0,5480,6.4,0.706,PIT,2020
454.0,95.0,0.07,0.64,0.073,40.0,6216,7.72,0.706,SEA,2020
374.0,69.0,0.05,0.57,0.045,25.0,6209,7.81,0.375,SF,2020
492.0,101.0,0.07,0.65,0.068,42.0,6295,7.78,0.75,TB,2020
491.0,95.0,0.07,0.6,0.069,33.0,6516,8.0,0.647,TEN,2020
316.0,50.0,0.04,0.57,0.027,16.0,5407,6.49,0.412,WAS,2020
444.0,78.0,0.05,0.58,0.047,27.0,6695,7.96,0.611,ARI,2021
308.0,52.0,0.04,0.53,0.036,20.0,5438,7.15,0.412,ATL,2021
384.0,61.0,0.04,0.63,0.035,21.0,6746,7.2,0.471,BAL,2021
483.0,93.0,0.06,0.56,0.056,36.0,6655,6.96,0.632,BUF,2021
304.0,46.0,0.03,0.54,0.024,14.0,5415,6.18,0.294,CAR,2021
294.0,46.0,0.03,0.52,0.031,16.0,5650,6.96,0.353,CHI,2021
451.0,88.0,0.06,0.62,0.067,36.0,6548,8.88,0.619,CIN,2021
338.0,62.0,0.05,0.59,0.042,21.0,6090,7.15,0.471,CLE,2021
484.0,96.0,0.06,0.6,0.063,40.0,7067,7.8,0.667,DAL,2021
332.0,56.0,0.04,0.57,0.038,20.0,5881,7.25,0.412,DEN,2021
